Tipo,Descripcion,Habitaciones,Baños,Área,Barrio,UPZ,Valor
Apartamento,Apartamento en venta en Bella Suiza,2,2,65,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 383.045.000
Apartamento,Apartamento en venta en Santa Barbara,2,2,53,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 371.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,89,Cedritos,Usaquén,$ 516.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,3,132,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 750.000.000
Casa,Casa en venta en Santa Barbara,3,2,70,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 282.000.000
Apartamento,Apartamento en venta en Chico Norte,2,2,57,Chico Norte,CHAPINERO: Chicó Lago + El Refugio,$ 371.000.000
Apartamento,Apartamento en venta en Bosa,2,1,45,Bosa,Bosa Central,$ 110.000.000
Apartamento,Apartamento en venta en Bosa,3,2,49,Bosa,Bosa Central,$ 144.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,87,Kennedy,Kennedy Central,$ 357.000.000
Apartamento,Apartamento en venta en Bosa,3,1,53,Bosa,Bosa Central,$ 134.000.000
Apartamento,Apartamento en venta en San Cristobal,2,1,52,San Cristobal,Sosiego,$ 160.000.000
Casa,Casa en venta en Antonio Nariño,5,5,358,Antonio Nariño,Restrepo,$ 850.000.000
Apartamento,Apartamento en venta en Bosa,2,1,47,Bosa,Bosa Central,$ 120.000.000
Apartamento,Apartamento en venta en Bosa,3,1,42,Bosa,Bosa Central,$ 116.000.000
Casa,Casa en venta en Costa Azul,5,3,96,Costa Azul,Suba,$ 250.000.000
Apartamento,Apartamento en venta en Fontibón,2,2,44,Fontibón,Fontibón,$ 111.000.000
Apartamento,Apartamento en venta en Bosa,3,1,42,Bosa,Bosa Central,$ 107.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,60,Cedritos,Usaquén,$ 123.000.000
Apartamento,Apartamento en venta en Gran Granada,3,2,85,Gran Granada,Garcés Navas,$ 347.000.000
Apartamento,Apartamento en venta en Villa Alsacia,3,2,78,Villa Alsacia,KENNEDY: Castilla + Bavaria,$ 400.000.000
Casa,Casa en venta en Bosa,5,4,210,Bosa,Bosa Central,$ 300.000.000
Apartamento,Apartamento en venta en Usme,3,1,50,Usme,USME: Alfonso López + Ciudad Usme,$ 141.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,64,Cedritos,Usaquén,$ 277.000.000
Apartamento,Apartamento en venta en San Patricio,2,2,72,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 420.000.000
Apartamento,Apartamento en venta en Santa Barbara,3,2,65,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 275.000.000
Casa,Casa en venta en Engativa,10,7,370,Engativa,Engativá,$ 850.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,63,Usaquén,Usaquén,$ 390.000.000
Apartamento,Apartamento en venta en El Batán,2,2,91,El Batán,La Alhambra,$ 445.000.000
Apartamento,Apartamento en venta en Engativa,3,2,68,Engativa,Engativá,$ 310.000.000
Apartamento,Apartamento en venta en Engativa,3,2,71,Engativa,Engativá,$ 277.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,63,Cedritos,Usaquén,$ 290.000.000
Apartamento,Apartamento en venta en Gran Granada,3,2,85,Gran Granada,Garcés Navas,$ 347.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,60,Cedritos,Usaquén,$ 123.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,82,Usaquén,Usaquén,$ 340.000.000
Apartamento,Apartamento en venta en Usaquén,2,1,31,Usaquén,Usaquén,$ 156.000.000
Apartamento,Apartamento en venta en Teusaquillo,3,2,81,Teusaquillo,Teusaquillo,$ 395.000.000
Apartamento,Apartamento en venta en Engativa,3,2,60,Engativa,Engativá,$ 245.000.000
Apartamento,Apartamento en venta en Bogotá D.C,2,1,47,Bogotá D.C,Ciudad Salitre Occidental,$ 130.000.000
Apartamento,Apartamento en venta en Bogotá D.C,3,1,48,Bogotá D.C,Ciudad Salitre Occidental,$ 136.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,71,Usaquén,Usaquén,$ 476.500.000
Apartamento,Apartamento en venta en Usaquén,2,2,71,Usaquén,Usaquén,$ 476.500.000
Apartamento,Apartamento en venta en Usaquén,3,2,58,Usaquén,Usaquén,$ 225.000.000
Apartamento,Apartamento en venta en Kennedy,3,1,45,Kennedy,Kennedy Central,$ 165.000.000
Apartamento,Apartamento en venta en La Calleja,3,2,86,La Calleja,USAQUÉN: Country Club + Santa Bárbara,$ 451.000.000
Apartamento,Apartamento en venta en Cedritos,1,2,42,Cedritos,Usaquén,$ 307.000.000
Casa,Casa en venta en Fontibón,3,2,44,Fontibón,Fontibón,$ 138.000.000
Apartamento,Apartamento en venta en Fontibón,3,1,46,Fontibón,Fontibón,$ 180.000.000
Apartamento,Apartamento en venta en Chico Reservado,2,3,138,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 620.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,112,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 398.000.000
Apartamento,Apartamento en venta en Engativa,3,2,71,Engativa,Engativá,$ 276.000.000
Casa,Casa en venta en Fontibón,3,2,150,Fontibón,Fontibón,$ 750.000.000
Apartamento,Apartamento en venta en Fontibón,3,2,59,Fontibón,Fontibón,$ 245.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,86,Usaquén,Usaquén,$ 555.000.000
Apartamento,Apartamento en venta en San Patricio,2,2,72,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 450.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,78,Usaquén,Usaquén,$ 370.000.000
Apartamento,Apartamento en venta en Tintala,3,2,54,Tintala,Tintala,$ 162.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,1,1,24,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 173.000.000
Casa,Casa en venta en Usaquén,3,3,141,Usaquén,Usaquén,$ 629.000.000
Casa,Casa en venta en Engativa,2,1,62,Engativa,Engativá,$ 220.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,77,Kennedy,Kennedy Central,$ 390.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,77,Kennedy,Kennedy Central,$ 390.000.000
Apartamento,Apartamento en venta en Santa Barbara,3,2,75,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 314.000.000
Apartamento,Apartamento en venta en Gran America,1,1,23,Gran America,Quinta Paredes,$ 170.000.000
Apartamento,Apartamento en venta en Usaquén,2,1,42,Usaquén,Usaquén,$ 200.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,2,2,61,Rafael Uribe Uribe,Los Alcázares,$ 251.000.000
Apartamento,Apartamento en venta en Engativa,2,1,53,Engativa,Engativá,$ 168.000.000
Apartamento,Apartamento en venta en Kennedy,3,1,58,Kennedy,Kennedy Central,$ 200.000.000
Apartamento,Apartamento en venta en Fontibón,2,2,56,Fontibón,Fontibón,$ 340.000.000
Apartamento,Apartamento en venta en Kennedy,1,1,34,Kennedy,Kennedy Central,$ 103.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,60,Usaquén,Usaquén,$ 230.000.000
Apartamento,Apartamento en venta en Bella Suiza,4,5,221,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 1.200.000.000
Apartamento,Apartamento en venta en Cedritos,1,2,54,Cedritos,Usaquén,$ 355.000.000
Casa,Casa en venta en Puente Aranda,6,2,150,Puente Aranda,PUENTE ARANDA: Zona Industrial + Puente Aranda,$ 600.000.000
Apartamento,Apartamento en venta en Bella Suiza,3,2,71,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 378.300.000
Casa,Casa en venta en Usaquén,4,5,360,Usaquén,Usaquén,$ 1.900.000.000
Apartamento,Apartamento en venta en Barrios Unidos,3,2,43,Barrios Unidos,Los Andes,$ 160.000.000
Casa,Casa en venta en San Cristobal,13,6,454,San Cristobal,Sosiego,$ 650.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 102.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 148.000.000
Apartamento,Apartamento en venta en Usaquén,3,3,117,Usaquén,Usaquén,$ 500.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,53,Bosa,Bosa Central,$ 142.000.000
Apartamento,Apartamento en venta en La Salle,2,2,67,La Salle,CHAPINERO: Pardo Rubio + Chapinero,$ 389.000.000
Casa,Casa en venta en Usaquén,5,4,147,Usaquén,Usaquén,$ 522.500.000
Apartamento,Apartamento en venta en El Contador,3,2,95,El Contador,Los Cedros,$ 465.000.000
Apartamento,Apartamento en venta en Chico Reservado,2,2,103,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.250.000.000
Apartamento,Apartamento en venta en Engativa,2,2,21,Engativa,Engativá,$ 235.000.000
Apartamento,Apartamento en venta en Kennedy,1,1,32,Kennedy,Kennedy Central,$ 164.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,114,Usaquén,Usaquén,$ 416.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,73,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 318.000.000
Apartamento,Apartamento en venta en Engativa,3,2,50,Engativa,Engativá,$ 180.000.000
Apartamento,Apartamento en venta en Portales Del Norte,3,2,83,Portales Del Norte,Britalia,$ 390.000.000
Apartamento,Apartamento en venta en Chapinero,2,1,47,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 258.500.000
Apartamento,Apartamento en venta en Villemar,3,2,59,Villemar,Fontibón,$ 205.000.000
Apartamento,Apartamento en venta en Teusaquillo,1,1,29,Teusaquillo,Teusaquillo,$ 192.000.000
Casa,Casa en venta en Usaquén,5,4,147,Usaquén,Usaquén,$ 522.500.000
Apartamento,Apartamento en venta en Engativa,2,2,21,Engativa,Engativá,$ 235.000.000
Apartamento,Apartamento en venta en Chico Reservado,2,2,103,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.250.000.000
Apartamento,Apartamento en venta en Villa Alsacia,3,2,55,Villa Alsacia,KENNEDY: Castilla + Bavaria,$ 240.000.000
Casa,Casa en venta en Engativa,3,2,72,Engativa,Engativá,$ 320.000.000
Apartamento,Apartamento en venta en Kennedy,2,1,42,Kennedy,Kennedy Central,$ 116.100.000
Casa,Casa en venta en Zona Noroccidental,4,2,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 224.000.000
Apartamento,Apartamento en venta en Marly,1,1,34,Marly,CHAPINERO: Pardo Rubio + Chapinero,$ 192.000.000
Apartamento,Apartamento en venta en Santa Barbara,1,1,45,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 250.000.000
Apartamento,Apartamento en venta en El Contador,2,3,89,El Contador,Los Cedros,$ 500.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,66,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 345.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 256.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 323.000.000
Apartamento,Apartamento en venta en Fontibón,2,1,48,Fontibón,Fontibón,$ 150.000.000
Apartamento,Apartamento en venta en Antonio Nariño,3,2,59,Antonio Nariño,Restrepo,$ 245.000.000
Apartamento,Apartamento en venta en Usaquén,2,3,102,Usaquén,Usaquén,$ 850.000.000
Apartamento,Apartamento en venta en Bosa,3,1,46,Bosa,Bosa Central,$ 127.000.000
Apartamento,Apartamento en venta en Engativa,2,2,48,Engativa,Engativá,$ 210.000.000
Apartamento,Apartamento en venta en Santa Fe,1,2,50,Santa Fe,SANTA FE: Las Nieves + Sagrado Corazón,$ 354.000.000
Apartamento,Apartamento en venta en Colina Campestre,3,2,62,Colina Campestre,Niza,$ 281.000.000
Apartamento,Apartamento en venta en Engativa,2,1,52,Engativa,Engativá,$ 200.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,88,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 500.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,79,Usaquén,Usaquén,$ 300.000.000
Apartamento,Apartamento en venta en Bella Suiza,1,2,66,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 400.000.000
Apartamento,Apartamento en venta en Portales Del Norte,3,2,70,Portales Del Norte,Britalia,$ 330.000.000
Apartamento,Apartamento en venta en Bosa,3,1,49,Bosa,Bosa Central,$ 163.000.000
Apartamento,Apartamento en venta en Santa Barbara,2,2,81,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 430.000.000
Apartamento,Apartamento en venta en Portales Del Norte,3,2,70,Portales Del Norte,Britalia,$ 330.000.000
Apartamento,Apartamento en venta en Portales Del Norte,3,2,70,Portales Del Norte,Britalia,$ 320.000.000
Apartamento,Apartamento en venta en Colina Campestre,3,2,62,Colina Campestre,Niza,$ 281.000.000
Apartamento,Apartamento en venta en Usaquén,2,3,102,Usaquén,Usaquén,$ 850.000.000
Apartamento,Apartamento en venta en Engativa,2,2,48,Engativa,Engativá,$ 210.000.000
Apartamento,Apartamento en venta en Bosa,3,1,46,Bosa,Bosa Central,$ 127.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,74,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 260.000.000
Apartamento,Apartamento en venta en El Batán,3,2,107,El Batán,La Alhambra,$ 525.000.000
Apartamento,Apartamento en venta en San Patricio,2,2,107,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 760.000.000
Apartamento,Apartamento en venta en Cantagallo,2,2,60,Cantagallo,Britalia,$ 387.000.000
Casa,Casa en venta en Engativa,3,3,73,Engativa,Engativá,$ 360.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,1,1,41,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 246.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,70,Cedritos,Usaquén,$ 319.000.000
Casa,Casa en venta en Engativa,2,1,57,Engativa,Engativá,$ 190.000.000
Apartamento,Apartamento en venta en Santa Barbara,3,3,89,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 500.000.000
Casa,Casa en venta en Ciudad Berna,8,4,400,Ciudad Berna,Ciudad Jardín,$ 1.400.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,106,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 491.000.000
Apartamento,Apartamento en venta en La Calleja,3,4,186,La Calleja,USAQUÉN: Country Club + Santa Bárbara,$ 970.000.000
Apartamento,Apartamento en venta en Tintala,3,2,42,Tintala,Tintala,$ 145.000.000
Apartamento,Apartamento en venta en Usaquén,1,2,48,Usaquén,Usaquén,$ 420.000.000
Apartamento,Apartamento en venta en Usaquén,3,3,107,Usaquén,Usaquén,$ 660.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,3,109,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 515.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,103,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 520.000.000
Casa,Casa en venta en Usaquén,2,3,158,Usaquén,Usaquén,$ 770.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,99,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 495.000.000
Casa,Casa en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 160.000.000
Casa,Casa en venta en Ciudad Bolívar,2,1,40,Ciudad Bolívar,CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,$ 134.000.000
Apartamento,Apartamento en venta en Cantagallo,3,3,98,Cantagallo,Britalia,$ 489.900.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,77,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 310.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 270.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,81,Usaquén,Usaquén,$ 600.000.000
Apartamento,Apartamento en venta en Usaquén,3,3,66,Usaquén,Usaquén,$ 261.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,85,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 440.000.000
Apartamento,Apartamento en venta en El Plan,3,2,68,El Plan,El Rincón,$ 372.000.000
Apartamento,Apartamento en venta en Suba,1,1,43,Suba,Suba,$ 270.000.000
Casa,Casa en venta en Teusaquillo,7,8,282,Teusaquillo,Teusaquillo,$ 880.000.000
Casa,Casa en venta en Fontibón,8,4,261,Fontibón,Fontibón,$ 500.000.000
Apartamento,Apartamento en venta en Santa Barbara,3,3,145,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 590.000.000
Casa,Casa en venta en Marly,3,3,116,Marly,CHAPINERO: Pardo Rubio + Chapinero,$ 615.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,42,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,42,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Casa,Casa en venta en Engativa,6,4,334,Engativa,Engativá,$ 820.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,70,Cedritos,Usaquén,$ 319.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,53,Bosa,Bosa Central,$ 142.000.000
Apartamento,Apartamento en venta en Bosa,3,1,56,Bosa,Bosa Central,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,66,Usaquén,Usaquén,$ 261.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,56,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 248.000.000
Apartamento,Apartamento en venta en Cantagallo,3,2,58,Cantagallo,Britalia,$ 311.000.000
Apartamento,Apartamento en venta en Chapinero,2,2,74,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 620.000.000
Apartamento,Apartamento en venta en El Plan,3,2,106,El Plan,El Rincón,$ 491.000.000
Apartamento,Apartamento en venta en Barrios Unidos,3,2,89,Barrios Unidos,Los Andes,$ 460.000.000
Casa,Casa en venta en La Uribe,3,2,114,La Uribe,Usaquén,$ 416.000.000
Apartamento,Apartamento en venta en Engativa,3,1,61,Engativa,Engativá,$ 216.000.000
Casa,Casa en venta en Usaquén,5,3,130,Usaquén,Usaquén,$ 505.000.000
Apartamento,Apartamento en venta en Usaquén,1,1,47,Usaquén,Usaquén,$ 492.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,88,Usaquén,Usaquén,$ 408.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,50,Usaquén,Usaquén,$ 245.000.000
Apartamento,Apartamento en venta en Usaquén,1,1,43,Usaquén,Usaquén,$ 550.000.000
Apartamento,Apartamento en venta en Fontibón,3,1,53,Fontibón,Fontibón,$ 177.000.000
Apartamento,Apartamento en venta en El Plan,3,2,90,El Plan,El Rincón,$ 575.000.000
Apartamento,Apartamento en venta en Fontibón,2,1,45,Fontibón,Fontibón,$ 270.000.000
Apartamento,Apartamento en venta en Kennedy,1,1,38,Kennedy,Kennedy Central,$ 150.000.000
Apartamento,Apartamento en venta en Kennedy,2,2,55,Kennedy,Kennedy Central,$ 270.000.000
Casa,Casa en venta en Zona Noroccidental,5,4,245,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 750.000.000
Apartamento,Apartamento en venta en Cedritos,3,4,176,Cedritos,Usaquén,$ 880.000.000
Apartamento,Apartamento en venta en Villas De Granada,3,2,60,Villas De Granada,Garcés Navas,$ 215.625.000
Casa,Casa en venta en Engativa,4,2,63,Engativa,Engativá,$ 176.000.000
Apartamento,Apartamento en venta en Portales Del Norte,3,2,86,Portales Del Norte,Britalia,$ 404.000.000
Casa,Casa en venta en Ciudad Bolívar,4,2,92,Ciudad Bolívar,CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,$ 250.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,54,Kennedy,Kennedy Central,$ 237.000.000
Apartamento,Apartamento en venta en Santa Barbara,2,2,60,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 340.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,3,2,64,Ciudad Salitre,Ciudad Salitre Oriental,$ 466.000.000
Casa,Casa en venta en Usaquén,4,5,389,Usaquén,Usaquén,$ 2.900.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,1,52,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 168.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,1,52,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 168.000.000
Apartamento,Apartamento en venta en Nicolas De Federman,2,2,68,Nicolas De Federman,Teusaquillo,$ 508.000.000
Apartamento,Apartamento en venta en Engativa,3,2,50,Engativa,Engativá,$ 160.000.000
Apartamento,Apartamento en venta en Villas De Granada,3,2,60,Villas De Granada,Garcés Navas,$ 230.000.000
Apartamento,Apartamento en venta en Cedritos,4,4,100,Cedritos,Usaquén,$ 426.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,93,Usaquén,Usaquén,$ 520.000.000
Apartamento,Apartamento en venta en Chapinero,3,5,427,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 3.500.000.000
Apartamento,Apartamento en venta en Santa Teresa,3,2,105,Santa Teresa,San Cristóbal Norte,$ 535.000.000
Apartamento,Apartamento en venta en Mazuren,3,2,86,Mazuren,El Prado,$ 373.000.000
Apartamento,Apartamento en venta en Santa Fe,1,2,50,Santa Fe,SANTA FE: Las Nieves + Sagrado Corazón,$ 354.000.000
Apartamento,Apartamento en venta en Antonio Nariño,3,2,59,Antonio Nariño,Restrepo,$ 245.000.000
Apartamento,Apartamento en venta en Santa Barbara,1,1,45,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 250.000.000
Apartamento,Apartamento en venta en El Contador,2,3,89,El Contador,Los Cedros,$ 500.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 256.500.000
Apartamento,Apartamento en venta en Engativa,2,2,48,Engativa,Engativá,$ 210.000.000
Apartamento,Apartamento en venta en Usaquén,2,3,102,Usaquén,Usaquén,$ 850.000.000
Apartamento,Apartamento en venta en El Batán,3,2,107,El Batán,La Alhambra,$ 525.000.000
Apartamento,Apartamento en venta en San Patricio,2,2,107,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 760.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,74,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 260.000.000
Apartamento,Apartamento en venta en Bosa,3,1,49,Bosa,Bosa Central,$ 163.000.000
Apartamento,Apartamento en venta en Santa Barbara,2,2,81,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 430.000.000
Apartamento,Apartamento en venta en Portales Del Norte,3,2,70,Portales Del Norte,Britalia,$ 320.000.000
Apartamento,Apartamento en venta en Portales Del Norte,3,2,70,Portales Del Norte,Britalia,$ 330.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,1,1,41,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 246.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,79,Usaquén,Usaquén,$ 300.000.000
Apartamento,Apartamento en venta en Cantagallo,2,2,60,Cantagallo,Britalia,$ 387.000.000
Casa,Casa en venta en Engativa,3,3,73,Engativa,Engativá,$ 360.000.000
Casa,Casa en venta en Engativa,4,2,71,Engativa,Engativá,$ 220.000.000
Apartamento,Apartamento en venta en Engativa,3,1,61,Engativa,Engativá,$ 193.000.000
Apartamento,Apartamento en venta en Engativa,3,2,81,Engativa,Engativá,$ 410.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,66,Usaquén,Usaquén,$ 247.990.000
Apartamento,Apartamento en venta en Bosa,3,1,46,Bosa,Bosa Central,$ 127.000.000
Apartamento,Apartamento en venta en Colina Campestre,3,2,62,Colina Campestre,Niza,$ 281.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,66,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 345.000.000
Apartamento,Apartamento en venta en Tintala,2,1,45,Tintala,Tintala,$ 183.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,70,Cedritos,Usaquén,$ 319.000.000
Apartamento,Apartamento en venta en Santa Barbara,3,3,89,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 500.000.000
Casa,Casa en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 160.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 270.000.000
Apartamento,Apartamento en venta en Santa Barbara,2,3,59,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 435.600.000
Apartamento,Apartamento en venta en El Plan,3,2,106,El Plan,El Rincón,$ 491.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,84,Usaquén,Usaquén,$ 565.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,48,Kennedy,Kennedy Central,$ 159.000.000
Apartamento,Apartamento en venta en El Chicó,3,2,104,El Chicó,CHAPINERO: Chicó Lago + El Refugio,$ 500.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,68,Kennedy,Kennedy Central,$ 322.000.000
Apartamento,Apartamento en venta en Engativa,3,1,50,Engativa,Engativá,$ 186.000.000
Apartamento,Apartamento en venta en Santa Barbara,2,2,83,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 444.000.000
Apartamento,Apartamento en venta en Portales Del Norte,3,2,83,Portales Del Norte,Britalia,$ 390.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,1,36,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 202.000.000
Apartamento,Apartamento en venta en Kennedy,3,1,49,Kennedy,Kennedy Central,$ 175.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,1,47,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 190.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,48,Usaquén,Usaquén,$ 175.000.000
Apartamento,Apartamento en venta en Cantagallo,2,2,60,Cantagallo,Britalia,$ 386.990.000
Casa,Casa en venta en Zona Noroccidental,2,1,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 163.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,103,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 530.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,63,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 298.000.000
